,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
0,14003592,JJ458544,2025-10-18T00:00:00.000,103XX S TALMAN AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2211,22,19,72,05,1160392.0,1835772.0,2025,2025-10-25T15:43:27.000,41.705051323,-87.688278142,"
,  
(41.705051323, -87.688278142)"
1,14001945,JJ456710,2025-10-18T00:00:00.000,050XX S DREXEL BLVD,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,222,2,4,39,06,1183166.0,1871798.0,2025,2025-10-25T15:43:27.000,41.803412024,-87.603764184,"
,  
(41.803412024, -87.603764184)"
2,14001271,JJ455901,2025-10-18T00:00:00.000,091XX S ASHLAND AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,2221,22,21,73,08B,1167278.0,1844029.0,2025,2025-10-25T15:43:27.000,41.727565512,-87.662826863,"
,  
(41.727565512, -87.662826863)"
3,14003257,JJ458326,2025-10-18T00:00:00.000,075XX N BELL AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2411,24,49,2,06,1160011.0,1950101.0,2025,2025-10-25T15:43:27.000,42.018789374,-87.686519164,"
,  
(42.018789374, -87.686519164)"
4,14003609,JJ458762,2025-10-18T00:00:00.000,081XX S MARYLAND AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,631,6,8,44,06,1183320.0,1851173.0,2025,2025-10-25T15:43:27.000,41.746811516,-87.603841034,"
,  
(41.746811516, -87.603841034)"
5,14001262,JJ455803,2025-10-18T00:00:00.000,008XX S WABASH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,123,1,4,32,14,1176920.0,1896484.0,2025,2025-10-25T15:43:27.000,41.871295508,-87.625925454,"
,  
(41.871295508, -87.625925454)"
6,14001257,JJ455830,2025-10-18T00:00:00.000,062XX S BISHOP ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,STREET,False,True,713,7,16,67,04B,1167731.0,1863465.0,2025,2025-10-25T15:43:27.000,41.780890859,-87.660610738,"
,  
(41.780890859, -87.660610738)"
7,14001187,JJ455842,2025-10-18T00:00:00.000,028XX S TRUMBULL AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,1032,10,22,30,24,1153826.0,1885018.0,2025,2025-10-25T15:43:27.000,41.840322451,-87.711017413,"
,  
(41.840322451, -87.711017413)"
8,14001822,JJ456573,2025-10-18T00:00:00.000,001XX N STATE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,111,1,42,32,24,1176338.0,1901346.0,2025,2025-10-25T15:43:27.000,41.884650262,-87.627915459,"
,  
(41.884650262, -87.627915459)"
9,14004861,JJ460250,2025-10-18T00:00:00.000,007XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1934,19,44,6,06,1170792.0,1921474.0,2025,2025-10-25T15:43:27.000,41.940005868,-87.647690125,"
,  
(41.940005868, -87.647690125)"
10,14005690,JJ461381,2025-10-18T00:00:00.000,006XX N DEARBORN ST,0320,ROBBERY,STRONG ARM - NO WEAPON,BAR OR TAVERN,False,False,1832,18,42,8,03,1175825.0,1904582.0,2025,2025-10-25T15:43:27.000,41.893541578,-87.629701805,"
,  
(41.893541578, -87.629701805)"
